project_name,seq_num,template,charge_constant_current_1,charge_percent_limit_1,charge_constant_current_2,charge_cutoff_voltage,charge_constant_voltage_time,charge_rest_time,discharge_constant_current,discharge_cutoff_voltage,discharge_rest_time,cell_temperature_nominal,cell_type,capacity_nominal,diagnostic_type,diagnostic_parameter_set,diagnostic_start_cycle,diagnostic_interval
PredictionDiagnostics,100,diagnosticV2.000,2,30,1,4.1,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,101,diagnosticV2.000,2,30,1,4.1,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,102,diagnosticV2.000,2,30,1,4.1,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,103,diagnosticV2.000,2,30,1,4.1,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,104,diagnosticV2.000,2,30,0.5,4.1,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,105,diagnosticV2.000,2,30,0.5,4.1,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,106,diagnosticV2.000,2,30,0.5,4.1,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,107,diagnosticV2.000,2,30,0.5,4.1,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,108,diagnosticV2.000,2,30,0.5,4.1,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,109,diagnosticV2.000,2,30,0.5,4.1,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,110,diagnosticV2.000,2,30,0.5,4.2,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,111,diagnosticV2.000,2,30,0.5,4.2,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,112,diagnosticV2.000,2,30,0.5,4.2,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,113,diagnosticV2.000,2,30,0.5,4.2,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,114,diagnosticV2.000,2,30,0.5,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,115,diagnosticV2.000,2,30,0.5,4.2,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,116,diagnosticV2.000,2,30,0.2,4.1,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,117,diagnosticV2.000,2,30,0.2,4.1,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,118,diagnosticV2.000,2,30,0.2,4.1,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,119,diagnosticV2.000,2,30,0.2,4.1,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,120,diagnosticV2.000,2,30,0.2,4.1,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,121,diagnosticV2.000,2,30,0.2,4.1,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,122,diagnosticV2.000,2,30,0.2,4.2,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,123,diagnosticV2.000,2,30,0.2,4.2,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,124,diagnosticV2.000,2,30,0.2,4.2,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,125,diagnosticV2.000,2,30,0.2,4.2,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,126,diagnosticV2.000,2,30,0.2,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,127,diagnosticV2.000,2,30,0.2,4.2,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,128,diagnosticV2.000,1,30,1,4.1,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,129,diagnosticV2.000,1,30,1,4.1,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,130,diagnosticV2.000,1,30,1,4.1,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,131,diagnosticV2.000,1,30,1,4.1,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,132,diagnosticV2.000,1,30,1,4.2,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,133,diagnosticV2.000,1,30,1,4.2,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,134,diagnosticV2.000,1,30,1,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,135,diagnosticV2.000,1,30,1,4.2,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,136,diagnosticV2.000,1,30,0.5,4.1,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,137,diagnosticV2.000,1,30,0.5,4.1,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,138,diagnosticV2.000,1,30,0.5,4.1,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,139,diagnosticV2.000,1,30,0.5,4.1,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,140,diagnosticV2.000,1,30,0.5,4.1,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,141,diagnosticV2.000,1,30,0.5,4.1,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,142,diagnosticV2.000,1,30,0.5,4.2,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,143,diagnosticV2.000,1,30,0.5,4.2,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,144,diagnosticV2.000,1,30,0.5,4.2,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,145,diagnosticV2.000,1,30,0.5,4.2,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,146,diagnosticV2.000,1,30,0.5,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,147,diagnosticV2.000,1,30,0.5,4.2,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,148,diagnosticV2.000,1,30,0.2,4.1,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,149,diagnosticV2.000,1,30,0.2,4.1,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,150,diagnosticV2.000,1,30,0.2,4.1,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,151,diagnosticV2.000,1,30,0.2,4.1,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,152,diagnosticV2.000,1,30,0.2,4.1,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,153,diagnosticV2.000,1,30,0.2,4.1,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,154,diagnosticV2.000,1,30,0.2,4.2,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,155,diagnosticV2.000,1,30,0.2,4.2,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,156,diagnosticV2.000,1,30,0.2,4.2,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,157,diagnosticV2.000,1,30,0.2,4.2,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,158,diagnosticV2.000,1,30,0.2,4.2,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,159,diagnosticV2.000,1,30,0.2,4.2,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,160,diagnosticV2.000,0.5,30,1,4.1,90,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,161,diagnosticV2.000,0.5,30,1,4.1,90,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,162,diagnosticV2.000,0.5,30,1,4.1,90,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,163,diagnosticV2.000,0.5,30,1,4.1,30,5,1,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,164,diagnosticV2.000,0.5,30,1,4.1,30,5,0.5,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
PredictionDiagnostics,165,diagnosticV2.000,0.5,30,1,4.1,30,5,0.2,2.7,15,25,Tesla_Model3_21700,4.84,HPPC+RPT,Tesla21700,30,100
