Time(s)	Speed(mph)
0	0
1	0
2	0
3	0
4	0
5	0
6	0.2
7	0.7
8	1.1
9	1.7
10	6
11	13.9
12	20.5
13	25.7
14	25
15	28.4
16	32.3
17	34.6
18	36.5
19	38.4
20	39.9
21	42.2
22	43.8
23	44.2
24	43.4
25	42.6
26	40.3
27	39.2
28	38.4
29	38.4
30	39.2
31	38.8
32	38.8
33	36.5
34	32.3
35	27.6
36	22.3
37	17.3
38	11.5
39	5.8
40	1.2
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0.8
50	9.2
51	14.9
52	18.2
53	22.2
54	27.2
55	31.4
56	33.8
57	37.2
58	40.8
59	44
60	46.3
61	47.6
62	49.5
63	51.2
64	53
65	54.4
66	55.6
67	56.4
68	56.1
69	56.2
70	55.8
71	55.1
72	54.4
73	54.2
74	54.4
75	54.2
76	53.5
77	52.3
78	52
79	51.9
80	51.8
81	51.9
82	52
83	52.5
84	53.4
85	54.9
86	56.8
87	58.8
88	60.6
89	62.3
90	64.2
91	66.2
92	67.8
93	69.4
94	70.4
95	70.6
96	70.7
97	70.3
98	68.2
99	66.5
100	64.9
101	63.7
102	62.5
103	61
104	59.3
105	57.7
106	56
107	54.5
108	52.8
109	51.2
110	49.5
111	48
112	46.3
113	44
114	41.1
115	38.8
116	37.7
117	36.6
118	35.3
119	30
120	24.4
121	19.8
122	15.5
123	10.8
124	6.3
125	3.2
126	2.1
127	1.2
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	2.7
137	9.2
138	16.1
139	22.7
140	29.2
141	34.2
142	38.8
143	43
144	45.3
145	46.8
146	48
147	49.5
148	50.3
149	51.5
150	52.2
151	52.6
152	53
153	53.8
154	53.8
155	53.8
156	54.6
157	56.3
158	56.9
159	58.1
160	58.4
161	59.6
162	59.9
163	60.2
164	60.5
165	59.7
166	58.3
167	58.1
168	57.8
169	57.3
170	57.5
171	56.6
172	57
173	56.6
174	56.5
175	56.2
176	56.4
177	56.6
178	56.4
179	56.1
180	56
181	55.9
182	54.8
183	54.2
184	54.6
185	52.2
186	54.7
187	55.7
188	57
189	58
190	58.1
191	59.4
192	59.9
193	61
194	61.4
195	61.9
196	62.5
197	62.5
198	62.7
199	62.2
200	62.5
201	63.1
202	62.7
203	62.8
204	63
205	64.1
206	63.9
207	64.1
208	64.3
209	64.5
210	64.9
211	65.3
212	66
213	66
214	66.4
215	64.1
216	63.6
217	63.9
218	64.1
219	63.7
220	64.3
221	64.2
222	63.9
223	64.2
224	63.4
225	64
226	63.9
227	64
228	63.8
229	64
230	63.3
231	63.4
232	63.9
233	64
234	64.3
235	64.8
236	65.1
237	64
238	64.2
239	63.1
240	63.7
241	63.1
242	63.7
243	63.5
244	63
245	63.1
246	63
247	63.3
248	63.4
249	63.3
250	62.5
251	62.5
252	62.9
253	62.8
254	62.2
255	62.4
256	62.3
257	62.3
258	62.4
259	62.1
260	62.5
261	62.8
262	62.3
263	62.3
264	62.4
265	61.9
266	62.8
267	62.8
268	62.3
269	62.8
270	62.4
271	62.1
272	61.9
273	61.8
274	62.1
275	62.1
276	62.1
277	62
278	62.4
279	62.2
280	62.2
281	62.4
282	62.7
283	62.6
284	63.7
285	64.3
286	64.8
287	65.1
288	65.9
289	66.1
290	67
291	67.2
292	67.5
293	68.3
294	68.3
295	68.8
296	69.1
297	69.4
298	71.7
299	72.1
300	74.9
301	72.6
302	72.2
303	72.2
304	72
305	72.5
306	72.8
307	72.7
308	71.8
309	71.4
310	71.1
311	71.1
312	70.9
313	71
314	71
315	71.2
316	72.1
317	72.6
318	73.6
319	74.8
320	75.7
321	77.3
322	78.4
323	79.3
324	78.2
325	76
326	75.6
327	76.4
328	77.6
329	78
330	79.1
331	79.5
332	79.9
333	79.9
334	80.3
335	80.3
336	79.5
337	79.5
338	79.1
339	78.7
340	77.6
341	76.5
342	74.3
343	72.6
344	70.8
345	67.6
346	66.4
347	66.7
348	66.1
349	65.9
350	66.2
351	66.1
352	67.1
353	67.4
354	68.3
355	68.3
356	68.7
357	68.2
358	68.1
359	68
360	67.1
361	66.4
362	66.1
363	65.7
364	66
365	66.4
366	66
367	66.3
368	67
369	67.5
370	67.9
371	68.1
372	68.5
373	68.9
